62.7,83.7
63.0,84.3
63.4,78.8
63.9,81.6
64.5,82.9
65.0,80.0
65.5,82.4
65.9,78.4
66.5,80.4
67.1,79.3
67.5,75.0
67.9,66.1
68.5,72.1
69.2,73.9
69.9,68.4
70.6,66.0
71.4,68.1
72.2,65.8
73.0,60.4
73.7,64.5
74.4,66.7
75.2,62.1
76.0,63.3
76.9,61.0
78.0,67.0
79.0,66.9
80.1,56.5
80.9,52.7
81.7,51.7
82.5,58.7
82.6,62.3
83.2,67.3
83.9,73.7
84.7,75.0
85.6,76.7
86.4,64.5
87.2,71.4
88.0,66.9
88.6,66.5
89.1,72.4
89.7,76.3
90.5,73.1
91.5,74.1
92.2,77.2
93.1,73.1
93.4,70.3
93.8,62.5
94.1,64.3
94.4,71.0
94.7,66.5
94.7,62.0
95.0,65.5
95.9,67.5
97.0,65.7
97.5,65.4
97.7,65.4
97.7,69.3
98.1,73.4
98.0,72.1
97.7,71.9
97.9,70.4
98.0,74.6
98.1,80.8
98.8,89.1
99.2,93.3
99.4,92.2
99.8,92.8
100.1,90.9
100.4,89.9
100.8,89.3
101.1,91.1
101.4,94.2
102.1,100.1
102.6,97.4
102.9,101.0
103.3,96.1
103.5,98.1
103.7,95.5
104.1,96.6
104.4,99.1
104.7,100.9
105.1,96.3
105.3,95.7
105.5,92.9
105.7,96.0
106.3,93.7
106.8,93.7
107.0,94.6
107.2,91.8
107.5,96.5
107.7,94.0
107.9,92.4
108.1,92.1
108.5,88.4
109.0,90.9
109.5,93.9
109.9,95.6
109.7,95.9
109.1,95.1
108.7,96.2
109.0,94.8
109.4,99.3
109.5,97.7
109.6,94.9
110.0,91.9
110.2,95.6
110.4,91.4
110.8,89.1
111.4,90.4
111.8,90.2
112.2,90.8
112.7,92.8
113.0,91.1
113.5,91.5
113.8,93.7
114.3,94.4
114.7,93.6
115.0,89.3
115.4,83.1
115.6,86.8
116.0,90.8
116.2,91.6
116.5,94.6
117.2,91.2
117.5,94.8
118.0,94.7
118.5,93.4
119.0,97.4
119.5,97.3
119.9,94.1
120.3,93.0
120.7,91.9
121.2,97.9
121.6,95.4
122.2,94.3
123.1,91.5
123.7,90.7
124.1,90.6
124.5,92.0
124.5,89.6
124.8,95.8
125.4,93.9
125.9,90.9
126.3,90.5
127.5,93.0
128.0,89.5
128.6,91.3
128.9,93.9
129.1,90.6
129.9,88.3
130.5,88.2
131.6,76.4
132.5,72.8
133.4,63.9
133.7,66.0
134.2,65.5
134.7,66.8
134.8,70.4
134.8,87.7
135.1,81.8
135.6,78.3
136.0,82.1
136.2,82.9
136.6,82.0
137.0,83.0
137.2,78.3
137.8,69.1
138.2,68.2
138.3,67.5
138.6,68.8
139.1,76.0
139.4,77.2
139.7,79.2
140.1,80.4
140.5,76.6
140.8,76.1
141.1,75.6
141.7,73.3
142.1,85.3
142.3,91.0
142.8,89.3
143.1,86.6
143.3,85.9
143.8,85.6
144.2,80.3
144.3,81.5
144.5,77.0
144.8,77.3
145.0,77.9
145.6,82.7
146.0,81.2
146.3,88.2
146.3,94.3
146.7,93.2
147.1,91.5
147.2,92.6
147.5,92.8
147.9,91.2
148.4,89.0
149.0,91.7
149.3,91.5
149.4,92.7
149.8,91.6
150.1,95.1
150.5,97.6
150.9,95.1
151.2,90.3
151.8,92.5
152.1,89.8
152.4,92.7
152.6,94.4
152.9,96.2
153.1,88.9
153.5,90.2
153.7,88.2
153.9,91.0
154.7,89.3
155.0,88.5
155.5,93.7
156.1,92.7
156.4,89.4
156.7,92.4
157.0,94.7
157.2,95.3
157.7,94.7
158.2,96.5
158.7,99.2
159.1,96.9
159.4,97.4
159.7,99.7
159.8,100.0
159.9,101.4
159.9,103.2
160.2,104.5
160.4,107.1
160.8,104.4
161.2,106.0
161.5,105.6
161.7,107.2
161.8,102.1
162.0,106.6
162.0,110.4
162.0,106.5
162.2,108.7
162.6,106.5
162.8,105.6
163.2,105.2
163.4,104.4
163.5,100.9
163.9,97.4
164.1,102.7
164.4,100.5
164.7,103.9
164.7,108.1
164.8,105.7
165.9,104.6
166.0,106.8
166.0,107.3
166.7,106.0
167.1,104.5
167.8,107.2
168.1,103.2
168.4,107.2
168.8,105.4
169.3,112.0
170.0,111.3
171.0,107.1
170.9,109.2
171.2,110.7
172.2,106.4
172.7,108.3
172.7,107.3
173.6,106.8
173.9,105.8
174.2,107.6
174.6,98.4
175.6,94.7
176.0,90.6
176.1,91.5
176.4,88.4
177.3,92.0
177.7,92.6
177.4,92.4
177.4,91.5
178.1,81.8
177.6,82.7
177.5,83.9
177.4,88.8
177.7,93.0
178.0,90.7
178.5,95.7
179.3,93.0
179.5,96.9
179.6,92.4
180.0,88.1
180.5,87.6
180.8,86.1
181.2,80.6
181.5,84.2
181.8,86.7
182.6,82.4
183.6,79.9
183.9,77.6
183.2,86.0
182.9,92.1
183.1,89.7
183.7,90.9
184.5,89.3
185.1,87.7
